Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 01/03  07:00:00,19107690.076178685,19107690.076178685,87831882.09014022 
 01/03  08:00:00,19595664.872945357,19595664.872945357,90107078.06760614 
 01/03  09:00:00,28832643.54869557,28832643.54869557,78155390.58903491 
 01/03  10:00:00,43641791.90052146,43641791.90052146,26875429.708774976 
 01/03  11:00:00,46179156.54760674,46179156.547606744,7493000.567394219 
 01/03  12:00:00,45142183.922434226,45142183.922434226,3964682.9035422187 
 01/03  13:00:00,42683816.58599098,42683816.58599098,7386709.70848425 
 01/03  14:00:00,41180870.16830717,41180870.16830717,869014.5016193106 
 01/03  15:00:00,38381101.78450877,38381101.78450877,500646.848517274 
 01/03  16:00:00,39593313.046856485,39593313.04685648,849309.7437024056 
 01/03  17:00:00,43255916.68153906,43255916.68153906,1365647.6642746632 
 01/03  18:00:00,41439293.2518125,41439293.251812495,14862364.29241743 
 01/03  19:00:00,37515788.17707465,37515788.17707463,10446100.198094882 
 01/03  20:00:00,10883935.25418148,10883935.25418148,0.0 
 01/03  21:00:00,9899331.821026983,9899331.82102698,0.0 
 01/03  22:00:00,9899331.821026983,9899331.82102698,0.0 
 01/03  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/03  24:00:00,7265454.451684226,7265454.451684226,0.0 
 01/04  01:00:00,9469604.825749658,9469604.82574966,0.0 
 01/04  02:00:00,9469604.825749658,9469604.82574966,0.0 
 01/04  03:00:00,9469604.825749658,9469604.82574966,0.0 
 01/04  04:00:00,9469604.825749658,9469604.82574966,0.0 
 01/04  05:00:00,9469604.825749658,9469604.82574966,0.0 
 01/04  06:00:00,9469604.825749658,9469604.82574966,0.0 
 01/04  07:00:00,38466283.807021245,38466283.80702125,37643496.55965777 
 01/04  08:00:00,40899886.183191195,40899886.18319118,42423208.41430418 
 01/04  09:00:00,46615738.07365438,46615738.07365438,5461232.909019788 
 01/04  10:00:00,41171576.06409618,41171576.064096175,69846.8066938378 
 01/04  11:00:00,37515976.06131648,37515976.061316475,0.0 
 01/04  12:00:00,38481445.018773004,38481445.018773,0.0 
 01/04  13:00:00,36295535.79052592,36295535.79052591,0.0 
 01/04  14:00:00,32653053.35693988,32653053.356939875,0.0 
 01/04  15:00:00,30014439.3198757,30014439.3198757,0.0 
 01/04  16:00:00,31316762.59157804,31316762.591578037,0.0 
 01/04  17:00:00,33867834.91841336,33867834.91841336,0.0 
 01/04  18:00:00,33314873.39726237,33314873.397262365,0.0 
 01/04  19:00:00,29332559.820615463,29332559.820615463,0.0 
 01/04  20:00:00,10883935.25418148,10883935.25418148,0.0 
 01/04  21:00:00,9899331.821026983,9899331.82102698,0.0 
 01/04  22:00:00,9899331.821026983,9899331.82102698,0.0 
 01/04  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/04  24:00:00,7265454.451684226,7265454.451684226,0.0 
 01/05  01:00:00,9469604.825749658,9469604.82574966,0.0 
 01/05  02:00:00,9469604.825749658,9469604.82574966,0.0 
 01/05  03:00:00,9469604.825749658,9469604.82574966,0.0 
 01/05  04:00:00,8794604.825749658,8794604.82574966,0.0 
 01/05  05:00:00,9019604.825749658,9019604.82574966,0.0 
 01/05  06:00:00,9469604.825749658,9469604.82574966,0.0 
 01/05  07:00:00,31791459.955684774,31791459.955684777,596786.5194284755 
 01/05  08:00:00,34272053.26114982,34272053.26114982,0.0 
 01/05  09:00:00,36623505.593906485,36623505.59390648,0.0 
 01/05  10:00:00,33239540.893863898,33239540.893863894,0.0 
 01/05  11:00:00,28554104.23579882,28554104.23579882,0.0 
 01/05  12:00:00,29484259.97304633,29484259.97304633,0.0 
 01/05  13:00:00,26336727.600643974,26336727.600643978,0.0 
 01/05  14:00:00,28339879.460674953,28339879.460674953,0.0 
 01/05  15:00:00,27196707.23259402,27196707.232594017,0.0 
 01/05  16:00:00,28488822.90355026,28488822.903550256,0.0 
 01/05  17:00:00,30441686.331472874,30441686.331472874,0.0 
 01/05  18:00:00,26036670.798200905,26036670.798200905,0.0 
 01/05  19:00:00,23242700.6783218,23242700.6783218,0.0 
 01/05  20:00:00,10883935.25418148,10883935.25418148,0.0 
 01/05  21:00:00,9899331.821026983,9899331.82102698,0.0 
 01/05  22:00:00,9899331.821026983,9899331.82102698,0.0 
 01/05  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/05  24:00:00,7265454.451684226,7265454.451684226,0.0 
 01/06  01:00:00,9469604.825749658,9469604.82574966,0.0 
 01/06  02:00:00,9469604.825749658,9469604.82574966,0.0 
 01/06  03:00:00,8794604.825749658,8794604.82574966,0.0 
